generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
260000,species1,species3,0,0.0314733,-0.00192853,0.0204615,0
261000,species1,species3,0,0.0143334,-0.00192853,0.00425643,0
261000,species3,NA,285.035,0.0247975,-0.000163049,0.151899,0
262000,species1,species3,0,0.0343301,-0.00214761,0.017122,0
263000,species1,species3,0,0.0237061,-0.00112463,0.0104912,0
264000,species1,species3,0,0.0160845,-0.00105941,0.00230855,0
265000,species1,species3,0,0.0174884,-0.00186596,0.000938049,0
266000,species1,species3,0,0.0326287,-0.00228507,0.0118778,0
267000,species1,species3,0,0.0110096,-0.000480543,0.00171964,0
268000,species1,species3,0,0.0132884,-0.00130366,0.00128521,0
269000,species1,species3,0,0.0121873,-0.00130366,0.000875785,0
270000,species1,species3,0,0.0233159,-0.000457192,0.0153456,0
271000,species1,species3,0,0.0137519,-0.000808576,0.00470556,0
272000,species1,species3,0,0.0106274,6.39949e-05,0.00238353,0
273000,species1,species3,0,0.0154368,-0.00137901,0.00413131,0
273000,species3,NA,131.121,0.0229345,-0.00221167,0.0379507,0
274000,species1,species3,0,0.0207403,-0.00137901,0.002973,0
274000,species3,NA,197.974,0.0412557,-0.00446412,0.0897238,0
275000,species1,species3,0,0.0201585,-0.00137901,0.00810111,0
275000,species12,species42,275.914,0.0640149,-0.00202094,0.00858396,0
275000,species4,species65,279.752,0.13988,0.000944836,0.119732,0
275000,species3,NA,284.044,0.0101223,0.00172267,0.113681,0
276000,species1,species3,0,0.020434,-0.00137901,0.0109776,0
277000,species1,species3,0,0.0120368,0.000842268,0.0048193,0
278000,species1,species3,0,0.00844852,7.67249e-05,0.00160393,0
279000,species1,species3,0,0.0287968,-0.00175487,0.0142915,0
280000,species1,species3,0,0.0245489,-0.00175487,0.00864407,0
281000,species1,species3,0,0.0148049,-0.00142852,0.00339963,0
282000,species1,species3,0,0.0198781,-0.00158192,0.00674494,0
283000,species1,species3,0,0.0241849,-0.00280997,0.00657846,0
284000,species1,species3,0,0.0230071,-0.00228294,0.0114591,0
285000,species1,species3,0,0.0471938,-0.00280997,0.021659,0
286000,species1,species3,0,0.0415933,-0.00161448,0.0251609,0
287000,species1,species3,0,0.0258632,-0.00161448,0.00932081,0
288000,species1,species3,0,0.0170397,-0.00228227,0.000399826,0
288000,species3,NA,52.6842,0.00544734,0.00301705,0.018033,0
289000,species1,species3,0,0.0141633,-0.00037111,0.00629986,0
290000,species1,species3,0,0.0207978,-0.000573776,0.0101329,0
291000,species1,species3,0,0.0164903,-0.00157996,0.00123442,0
292000,species1,species3,0,0.00947036,0.00117876,0.000963486,0
293000,species1,species3,0,0.00769291,0.00117876,0.000996014,0
293000,species3,NA,303.181,0.0596177,0.000362102,0.0541229,0
294000,species1,species3,0,0.0255956,-0.00238919,0.0105823,0
295000,species1,species3,0,0.0230048,-0.00233148,0.00425578,0
296000,species1,species3,0,0.022967,-0.00192673,0.00667661,0
297000,species1,species3,0,0.0213467,-0.0011214,0.00431708,0
297000,species3,NA,297.888,0.0257846,0.00345175,0.0906207,0
298000,species1,species3,0,0.0346066,-0.00188614,0.01727,0
299000,species1,species3,0,0.0284347,-0.00267704,0.00698901,0
300000,species1,species3,0,0.0143719,-0.00103334,0.000725373,0
301000,species1,species3,0,0.0199398,-0.00295789,0.00163676,0
301000,species60,NA,329.248,0.214569,-0.00958671,0.0870469,0
302000,species1,species3,0,0.0218868,-0.00295789,0.0028033,0
303000,species1,species3,0,0.0239248,-0.00237339,0.00795943,0
304000,species1,species3,0,0.0188691,-0.00036449,0.0103809,0
305000,species1,species3,0,0.0304859,-0.00175339,0.0166751,0
306000,species1,species3,0,0.0200947,-0.000710704,0.00981454,0
307000,species1,species3,0,0.0190615,-0.00178865,0.00773805,0
308000,species1,species3,0,0.0305304,-0.00278524,0.00822985,0
309000,species1,species3,0,0.0411942,-0.00363795,0.0140063,0
309000,species3,NA,329.64,0.00194695,0.00337365,0.0662488,0
310000,species1,species3,0,0.0577432,-0.00391639,0.0189711,0
311000,species1,species3,0,0.0381025,-0.00390126,0.011235,0
312000,species1,species3,0,0.0406691,-0.00332576,0.00805588,0
312000,species3,NA,165.599,0.018542,-0.00371708,0.0455389,0
313000,species1,species3,0,0.0178889,-0.00120926,0.00469562,0
313000,species3,NA,106.491,0.0115201,0.00025486,0.012167,0
314000,species1,species3,0,0.0206908,-0.000655598,0.00990141,0
314000,species3,NA,122.869,0.013747,-0.000350934,0.0198864,0
315000,species1,species3,0,0.0255207,-0.00142218,0.00873274,0
316000,species1,species3,0,0.0198224,-0.00105965,0.00735213,0
317000,species1,species3,0,0.0389483,-0.0024931,0.0161732,0
318000,species1,species3,0,0.0346466,-0.00195522,0.0142713,0
319000,species1,species3,0,0.0223257,-0.00186022,0.00634671,0
320000,species1,species3,0,0.0222826,-0.00186022,0.00942541,0
321000,species1,species3,0,0.0383565,-0.0033393,0.0109934,0
321000,species3,NA,25.7928,0.00736598,-0.00407498,0.0128833,0
322000,species1,species3,0,0.0283328,-0.0033393,0.00154909,0
323000,species1,species3,0,0.0335371,-0.00186022,0.0199135,0
324000,species1,species3,0,0.0252433,-0.0011907,0.0121321,0
325000,species1,species3,0,0.0334133,-0.00212152,0.014467,0
325000,species3,NA,262.195,0.0025205,-3.44269e-06,0.0706183,0
326000,species1,species3,0,0.0178838,-0.0017056,0.00593799,0
327000,species1,species3,0,0.0146838,-0.000889315,0.00729112,0
328000,species1,species3,0,0.0107693,-0.000774792,0.000626416,0
329000,species1,species3,0,0.0142935,-0.000889315,0.00574099,0
330000,species1,species3,0,0.0214529,-0.000774792,0.0104223,0
331000,species1,species3,0,0.0232828,-0.000914758,0.0101781,0
331000,species3,NA,305.367,0.0678333,0.0002833,0.241116,0
332000,species1,species3,0,0.0355207,-0.00239535,0.014369,0
333000,species1,species3,0,0.0242447,-0.00239535,0.00246989,0
333000,species1,species45,251.596,0.0101546,-0.00611349,0.00121435,0
334000,species1,species3,0,0.0243068,-0.00214598,0.00838066,0
335000,species1,species3,0,0.0156692,-0.000748164,0.00853629,0
336000,species1,species3,0,0.0157011,-0.000951656,0.00313623,0
337000,species1,species3,0,0.0226669,-0.00194781,0.0103792,0
338000,species1,species3,0,0.0218712,-0.00170234,0.00314956,0
339000,species1,species3,0,0.0152687,-0.000733071,0.00581563,0
340000,species1,species3,0,0.0159226,0.000551984,0.00960432,0
341000,species1,species3,0,0.0133515,-0.000163897,0.00235068,0
341000,species3,NA,253.425,0.069595,0.0044405,0.148093,0
342000,species1,species3,0,0.0146073,-0.000163897,0.00453469,0
343000,species1,species3,0,0.0394533,-0.00222028,0.0177626,0
344000,species1,species3,0,0.0106051,0.00173085,0.00805244,0
345000,species1,species3,0,0.00762716,0.00543645,0.00285017,0
346000,species1,species3,0,0.00706907,0.00625027,0.00535477,0
346000,species3,NA,254.772,0.0101042,0.00141478,0.0301429,0
347000,species1,species3,0,0.0186902,-0.000895865,0.00131452,0
348000,species1,species3,0,0.00677438,0.00291589,0.003673,0
349000,species1,species3,0,0.00831005,0.00251706,0.00203269,0
349000,species7,species52,265.939,0.0544158,-0.00420616,0.000144291,0
350000,species1,species3,0,0.00864644,0.00203967,0.00204365,0
351000,species1,species3,0,0.0240199,-0.00200953,0.00990109,0
352000,species1,species3,0,0.0189332,-0.000214475,0.0133425,0
353000,species1,species3,0,0.0161864,-0.00121478,0.00458275,0
354000,species1,species3,0,0.0157547,-0.00068698,0.0043511,0
355000,species1,species3,0,0.0231684,-0.00121478,0.00813422,0
356000,species1,species3,0,0.006964,0.00368856,0.00411167,0
357000,species1,species3,0,0.0224551,-2.60752e-05,0.0167301,0
358000,species1,species3,0,0.0079018,0.00244173,0.00116973,0
359000,species1,species3,0,0.0516684,-0.00274274,0.0269444,0
